Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,224.63125,-44.632386,180.0,bottom
C2,1uF,C_0603_1608Metric,224.632058,-50.424759,0.0,bottom
C3,100n,C_0402_1005Metric,50.566538,-63.289503,90.0,bottom
C4,220pF NP0,C_0402_1005Metric,55.705048,-64.777684,90.0,bottom
C10,100n,C_0402_1005Metric,104.775,-88.9,0.0,bottom
C12,100nF,C_0603_1608Metric,34.69292,-89.375438,270.0,bottom
C15,100n,C_0402_1005Metric,188.547024,-88.929977,0.0,bottom
C16,4.7u,C_0402_1005Metric,58.83125,-49.4625,180.0,bottom
C17,100n,C_0402_1005Metric,50.89375,-58.19375,0.0,bottom
C18,100n,C_0402_1005Metric,61.2125,-49.8125,90.0,bottom
C19,100n,C_0402_1005Metric,61.11875,-58.9875,270.0,bottom
C20,100n,C_0402_1005Metric,53.275,-59.43125,270.0,bottom
C21,100n,C_0402_1005Metric,50.8,-52.3375,0.0,bottom
C22,1u,C_0402_1005Metric,50.8,-53.28125,0.0,bottom
D_PWR1,SMF9.0CA,D_SOD-123,243.68125,-34.52284,90.0,bottom
F1,500mA,Fuse_1206_3216Metric,223.8375,-34.925,270.0,bottom
J2,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,234.269115,-27.65375,180.0,top
LED1,WS2812_2020,LED_WS2812_2020,28.81875,-50.8,270.0,bottom
LED2,WS2812_2020,LED_WS2812_2020,28.81875,-69.85,270.0,bottom
LED3,WS2812_2020,LED_WS2812_2020,28.81875,-88.9,270.0,bottom
LED15,WS2812_2020,LED_WS2812_2020,271.4625,-88.9,90.0,bottom
LED16,WS2812_2020,LED_WS2812_2020,271.4625,-69.85,90.0,bottom
LED17,WS2812_2020,LED_WS2812_2020,271.4625,-50.8,90.0,bottom
LED18,WS2812_2020,LED_WS2812_2020,270.66875,-34.925,0.0,bottom
LED19,WS2812_2020,LED_WS2812_2020,247.65,-34.13125,0.0,bottom
LED20,WS2812_2020,LED_WS2812_2020,206.375,-34.13125,0.0,bottom
LED21,WS2812_2020,LED_WS2812_2020,188.11875,-34.13125,0.0,bottom
LED22,WS2812_2020,LED_WS2812_2020,169.8625,-34.13125,0.0,bottom
LED23,WS2812_2020,LED_WS2812_2020,150.01875,-34.925,0.0,bottom
LED24,WS2812_2020,LED_WS2812_2020,111.91875,-34.13125,0.0,bottom
LED25,WS2812_2020,LED_WS2812_2020,92.86875,-34.13125,0.0,bottom
LED26,WS2812_2020,LED_WS2812_2020,73.81875,-34.13125,0.0,bottom
LED27,WS2812_2020,LED_WS2812_2020,29.36875,-34.925,0.0,bottom
LED30,WS2812_2020,LED_WS2812_2020,130.96875,-34.13125,0.0,bottom
LED31,WS2812_2020,LED_WS2812_2020,52.3875,-34.13125,0.0,bottom
R1,5k1,R_0603_1608Metric,239.74375,-33.3375,180.0,bottom
R2,5k1,R_0603_1608Metric,227.80625,-33.3375,0.0,bottom
R4,100k,R_0402_1005Metric,85.778534,-92.269061,270.0,bottom
R5,100k,R_0402_1005Metric,66.859797,-91.616023,270.0,bottom
R6,100k,R_0402_1005Metric,53.975,-61.020669,0.0,bottom
R7,100k,R_0402_1005Metric,46.83125,-90.9975,270.0,bottom
R8,100k,R_0402_1005Metric,100.336691,-92.86875,270.0,bottom
R9,100k,R_0402_1005Metric,115.09375,-90.60375,90.0,bottom
R11,100k,R_0402_1005Metric,194.458643,-88.418191,180.0,bottom
R12,100k,R_0402_1005Metric,183.336947,-91.608718,270.0,bottom
R13,100k,R_0402_1005Metric,158.719886,-91.031552,270.0,bottom
R14,100k,R_0402_1005Metric,214.3125,-91.79125,270.0,bottom
R15,100k,R_0402_1005Metric,252.187965,-90.293782,270.0,bottom
R16,100k,R_0402_1005Metric,233.614521,-91.057112,270.0,bottom
R17,100k,R_0402_1005Metric,61.9125,-53.465,90.0,bottom
R18,100k,R_0402_1005Metric,115.09375,-92.86875,270.0,bottom
R19,100,R_0402_1005Metric,42.015754,-52.60288,0.0,bottom
R20,100,R_0402_1005Metric,42.002505,-51.59375,0.0,bottom
R21,100,R_0402_1005Metric,41.982631,-50.537229,180.0,bottom
R22,100,R_0402_1005Metric,56.349625,-48.980642,270.0,bottom
R23,1k,R_0402_1005Metric,50.578259,-65.224247,90.0,bottom
R24,10k,R_0402_1005Metric,49.2125,-52.82125,270.0,bottom
R25,10k,R_0402_1005Metric,58.83125,-48.46875,0.0,bottom
R27,10k,R_0402_1005Metric,54.8625,-58.9875,0.0,bottom
U1,USBLC6-2SC6,SOT-23-6,227.0125,-41.275,90.0,bottom
U2,XC6206PxxxMR-Regulator_Linear,SOT-23,224.63125,-47.594886,90.0,bottom
U3,OPA354,SOT-23-5,53.122788,-64.29375,0.0,bottom
U4,74AHCT1G125,TSOT-23-5,37.30625,-88.9,270.0,bottom
U5,74HC4051,TSSOP16,108.35,-92.075,270.0,bottom
U7,74HC4051,TSSOP16,192.1875,-92.075,270.0,bottom
U8,STM32F401CBUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,56.45,-54.225,180.0,bottom
Y1,8 MHz,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,50.59375,-55.8125,270.0,bottom
