Comment,Designator,Footprint,LCSC
1k,R23,R_0402_1005Metric,C11702
STM32F401CBUx,U8,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,C118825
100nF,C12,C_0603_1608Metric,C14663
1uF,C1,C_0603_1608Metric,C14664
5k1,"R1,R2",R_0603_1608Metric,C14677
220pF NP0,C4,C_0402_1005Metric,C1530
USB_C_Receptacle_USB2.0,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
4.7u,C16,C_0402_1005Metric,C23733
100,"R19,R20,R21,R22",R_0402_1005Metric,C25076
100k,"R11,R12,R13,R14,R15,R16,R17,R18,R4,R5,R6,R7,R8,R9",R_0402_1005Metric,C25741
10k,"R24,R25,R27",R_0402_1005Metric,C25744
USBLC6-2SC6,U1,SOT-23-6,C2827654
100n,"C10,C15,C17,C18,C19,C20,C21,C3",C_0402_1005Metric,C307331
OPA354,U3,SOT-23-5,C36384
1uF,"C2,C22",C_0603_1608Metric,C52923
XC6206PxxxMR-Regulator_Linear,U2,SOT-23,C5446
74HC4051,"U5,U7",TSSOP16,C5645
500mA,F1,Fuse_1206_3216Metric,C70076
SMF9.0CA,D_PWR1,D_SOD-123,C707469
74AHCT1G125,U4,TSOT-23-5,C7468
8 MHz,Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,C907975
WS2812_2020,"LED1,LED15,LED16,LED17,LED18,LED19,LED2,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED3,LED30,LED31",LED_WS2812_2020,C965555
