Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,61.11875,-51.0125,180.0,bottom
C2,1uF,C_0603_1608Metric,61.119558,-56.804873,0.0,bottom
C3,4.7uF,C_0603_1608Metric,61.118749,-58.387112,180.0,bottom
C4,1uF,C_0603_1608Metric,65.759552,-62.847103,135.0,bottom
C5,100nF,C_0603_1608Metric,62.70625,-69.05625,45.0,bottom
C6,100nF,C_0603_1608Metric,67.042479,-63.850387,135.0,bottom
C7,100nF,C_0603_1608Metric,77.7875,-68.28125,180.0,bottom
C8,100nF,C_0603_1608Metric,70.105094,-77.7875,270.0,bottom
C9,100nF,C_0603_1608Metric,77.7875,-70.64375,180.0,bottom
C12,100nF,C_0603_1608Metric,56.58833,-53.499562,90.0,bottom
C13,100nF,C_0603_1608Metric,71.737281,-77.800116,270.0,bottom
D1,D_Small,D_SOD-123F,43.65625,-41.0875,90.0,bottom
D2,D_Small,D_SOD-123F,67.46875,-41.0875,90.0,bottom
D3,D_Small,D_SOD-123F,86.51875,-41.0875,90.0,bottom
D4,D_Small,D_SOD-123F,105.56875,-41.275,90.0,bottom
D5,D_Small,D_SOD-123F,124.61875,-41.275,90.0,bottom
D6,D_Small,D_SOD-123F,143.66875,-41.275,90.0,bottom
D7,D_Small,D_SOD-123F,162.71875,-41.275,90.0,bottom
D8,D_Small,D_SOD-123F,181.76875,-41.275,90.0,bottom
D9,D_Small,D_SOD-123F,200.81875,-41.275,90.0,bottom
D10,D_Small,D_SOD-123F,219.86875,-41.275,90.0,bottom
D11,D_Small,D_SOD-123F,238.91875,-41.275,90.0,bottom
D12,D_Small,D_SOD-123F,262.73125,-41.275,90.0,bottom
D13,D_Small,D_SOD-123F,46.0375,-60.325,90.0,bottom
D14,D_Small,D_SOD-123F,72.23125,-60.325,90.0,bottom
D15,D_Small,D_SOD-123F,91.28125,-60.325,90.0,bottom
D16,D_Small,D_SOD-123F,110.33125,-60.325,90.0,bottom
D17,D_Small,D_SOD-123F,129.38125,-60.325,90.0,bottom
D18,D_Small,D_SOD-123F,148.43125,-60.325,90.0,bottom
D19,D_Small,D_SOD-123F,167.48125,-60.325,90.0,bottom
D20,D_Small,D_SOD-123F,186.53125,-60.325,90.0,bottom
D21,D_Small,D_SOD-123F,205.58125,-60.325,90.0,bottom
D22,D_Small,D_SOD-123F,224.63125,-60.325,90.0,bottom
D23,D_Small,D_SOD-123F,243.68125,-60.325,90.0,bottom
D24,D_Small,D_SOD-123F,265.1125,-60.5125,90.0,bottom
D25,D_Small,D_SOD-123F,41.275,-79.375,90.0,bottom
D26,D_Small,D_SOD-123F,62.70625,-79.375,90.0,bottom
D27,D_Small,D_SOD-123F,81.75625,-79.375,90.0,bottom
D28,D_Small,D_SOD-123F,100.80625,-79.375,90.0,bottom
D29,D_Small,D_SOD-123F,119.85625,-79.375,90.0,bottom
D30,D_Small,D_SOD-123F,138.90625,-79.375,90.0,bottom
D31,D_Small,D_SOD-123F,157.95625,-79.375,90.0,bottom
D32,D_Small,D_SOD-123F,177.00625,-79.375,90.0,bottom
D33,D_Small,D_SOD-123F,196.05625,-79.375,90.0,bottom
D34,D_Small,D_SOD-123F,215.10625,-79.375,90.0,bottom
D35,D_Small,D_SOD-123F,227.80625,-80.16875,90.0,bottom
D36,D_Small,D_SOD-123F,267.49375,-79.375,90.0,bottom
D37,D_Small,D_SOD-123F,43.65625,-98.425,90.0,bottom
D38,D_Small,D_SOD-123F,57.94375,-98.425,90.0,bottom
D39,D_Small,D_SOD-123F,76.99375,-98.425,90.0,bottom
D40,D_Small,D_SOD-123F,131.7625,-98.425,90.0,bottom
D41,D_Small,D_SOD-123F,96.04375,-98.425,90.0,bottom
D42,D_Small,D_SOD-123F,153.19375,-98.425,90.0,bottom
D43,D_Small,D_SOD-123F,210.34375,-98.425,90.0,bottom
D44,D_Small,D_SOD-123F,234.15625,-98.2375,90.0,bottom
D45,D_Small,D_SOD-123F,248.44375,-98.425,90.0,bottom
D46,D_Small,D_SOD-123F,267.49375,-98.425,90.0,bottom
D47,D_Small,D_SOD-123F,179.3875,-98.425,90.0,bottom
D_PWR1,SMF9.0CA,D_SOD-123,235.49375,-34.52284,90.0,bottom
F1,500mA,Fuse_1206_3216Metric,230.98125,-34.52284,270.0,bottom
J2,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,234.269115,-26.725156,180.0,top
LED1,WS2812_2020,LED_WS2812_2020,30.95625,-50.8,180.0,bottom
LED2,WS2812_2020,LED_WS2812_2020,30.95625,-69.85,180.0,bottom
LED3,WS2812_2020,LED_WS2812_2020,30.95625,-88.9,180.0,bottom
LED4,WS2812_2020,LED_WS2812_2020,30.95625,-105.56875,0.0,bottom
LED5,WS2812_2020,LED_WS2812_2020,45.24375,-105.56875,0.0,bottom
