Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,59.49,-55.4575,0.0,bottom
C2,1uF,C_0603_1608Metric,59.490808,-61.249873,0.0,bottom
C3,10uF,C_0603_1608Metric,65.884308,-62.717543,135.0,bottom
C4,100nF,C_0603_1608Metric,62.70625,-69.05625,45.0,bottom
C5,100nF,C_0603_1608Metric,67.042479,-63.850387,135.0,bottom
C6,100nF,C_0603_1608Metric,77.7875,-68.28125,180.0,bottom
C7,100nF,C_0603_1608Metric,70.105094,-77.7875,270.0,bottom
C8,100nF,C_0603_1608Metric,77.7875,-70.64375,180.0,bottom
C9,100nF,C_0603_1608Metric,71.737281,-77.800116,270.0,bottom
C10,100nF,C_0603_1608Metric,55.024896,-58.024878,90.0,bottom
D1,D_Small,D_SOD-123F,43.65625,-41.0875,90.0,bottom
D2,D_Small,D_SOD-123F,67.46875,-41.0875,90.0,bottom
D3,D_Small,D_SOD-123F,86.51875,-41.0875,90.0,bottom
D4,D_Small,D_SOD-123F,105.56875,-41.275,90.0,bottom
D5,D_Small,D_SOD-123F,124.61875,-41.275,90.0,bottom
D6,D_Small,D_SOD-123F,143.66875,-41.275,90.0,bottom
D7,D_Small,D_SOD-123F,162.71875,-41.275,90.0,bottom
D8,D_Small,D_SOD-123F,181.76875,-41.275,90.0,bottom
D9,D_Small,D_SOD-123F,200.81875,-41.275,90.0,bottom
D10,D_Small,D_SOD-123F,219.86875,-41.275,90.0,bottom
D11,D_Small,D_SOD-123F,238.91875,-41.275,90.0,bottom
D12,D_Small,D_SOD-123F,262.73125,-41.275,90.0,bottom
D13,D_Small,D_SOD-123F,46.0375,-60.325,90.0,bottom
D14,D_Small,D_SOD-123F,72.23125,-60.325,90.0,bottom
D15,D_Small,D_SOD-123F,91.28125,-60.325,90.0,bottom
D16,D_Small,D_SOD-123F,110.33125,-60.325,90.0,bottom
D17,D_Small,D_SOD-123F,129.38125,-60.325,90.0,bottom
D18,D_Small,D_SOD-123F,148.43125,-60.325,90.0,bottom
D19,D_Small,D_SOD-123F,167.48125,-60.325,90.0,bottom
D20,D_Small,D_SOD-123F,186.53125,-60.325,90.0,bottom
D21,D_Small,D_SOD-123F,205.58125,-60.325,90.0,bottom
D22,D_Small,D_SOD-123F,224.63125,-60.325,90.0,bottom
D23,D_Small,D_SOD-123F,243.68125,-60.325,90.0,bottom
